"","BA","BEP","CPT","CT","EMDR","integrated therapy","IPT","MCC","MCT","NET","NF","non PTSD treatment","other","other TFCBT","PCT","PE","psychoeducation","relaxation","RTM","sham-neurofeedback","SIT","Supportive counseling","TARGET","TAU","VRET","WET","WL"
"BA",0,-0.11,0.39,0.143,0.031,0.241,0.143,-0.688,1.209,0.012,0.142,-0.182,-0.316,-0.053,-0.477,0.142,-0.676,-0.569,2.099,-0.477,-0.022,-0.412,-0.194,-0.785,-0.269,-0.16,-1.293
"BEP",NA,0,0.5,0.254,0.142,0.351,0.254,-0.578,1.319,0.122,0.252,-0.072,-0.205,0.057,-0.367,0.252,-0.566,-0.458,2.209,-0.367,0.088,-0.302,-0.084,-0.675,-0.159,-0.05,-1.183
"CPT",NA,NA,0,-0.246,-0.358,-0.149,-0.246,-1.078,0.82,-0.378,-0.247,-0.572,-0.705,-0.442,-0.867,-0.247,-1.066,-0.958,1.709,-0.867,-0.412,-0.802,-0.583,-1.175,-0.659,-0.55,-1.683
"CT",NA,NA,NA,0,-0.112,0.097,0,-0.832,1.066,-0.131,-0.001,-0.326,-0.459,-0.196,-0.621,-0.001,-0.819,-0.712,1.955,-0.621,-0.166,-0.556,-0.337,-0.928,-0.413,-0.304,-1.437
"EMDR",NA,-0.296,NA,NA,0,0.209,0.112,-0.72,1.178,-0.019,0.111,-0.214,-0.347,-0.084,-0.509,0.111,-0.707,-0.6,2.067,-0.508,-0.054,-0.444,-0.225,-0.816,-0.301,-0.192,-1.325
"integrated therapy",NA,NA,-0.039,NA,-0.107,0,-0.097,-0.929,0.968,-0.229,-0.098,-0.423,-0.556,-0.293,-0.718,-0.099,-0.917,-0.809,1.858,-0.718,-0.263,-0.653,-0.435,-1.026,-0.51,-0.401,-1.534
"IPT",NA,NA,NA,NA,NA,NA,0,-0.832,1.066,-0.131,-0.001,-0.326,-0.459,-0.196,-0.621,-0.001,-0.819,-0.712,1.955,-0.621,-0.166,-0.556,-0.337,-0.928,-0.413,-0.304,-1.437
"MCC",NA,NA,1.019,NA,NA,0.985,NA,0,1.897,0.7,0.83,0.506,0.373,0.635,0.211,0.83,0.012,0.12,2.787,0.211,0.666,0.276,0.494,-0.097,0.419,0.528,-0.605
"MCT",NA,NA,NA,NA,NA,NA,NA,NA,0,-1.197,-1.067,-1.391,-1.525,-1.262,-1.686,-1.067,-1.885,-1.778,0.89,-1.686,-1.232,-1.621,-1.403,-1.994,-1.478,-1.369,-2.502
"NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13,-0.194,-0.328,-0.065,-0.489,0.13,-0.688,-0.581,2.087,-0.489,-0.034,-0.424,-0.206,-0.797,-0.281,-0.172,-1.305
"NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.325,-0.458,-0.195,-0.62,0,-0.818,-0.711,1.956,-0.619,-0.165,-0.554,-0.336,-0.927,-0.411,-0.303,-1.435
"non PTSD treatment",NA,NA,0.065,NA,NA,0.386,NA,-0.49,NA,NA,NA,0,-0.133,0.13,-0.295,0.324,-0.494,-0.386,2.281,-0.295,0.16,-0.23,-0.012,-0.603,-0.087,0.022,-1.111
"other",NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,1.002,NA,0,0.263,-0.162,0.458,-0.36,-0.253,2.414,-0.161,0.293,-0.096,0.122,-0.469,0.046,0.155,-0.978
"other TFCBT",NA,NA,0.073,-0.11,0.428,0.432,NA,NA,NA,NA,NA,-1.316,NA,0,-0.425,0.195,-0.623,-0.516,2.151,-0.424,0.03,-0.359,-0.141,-0.732,-0.217,-0.108,-1.24
"PCT",NA,NA,3.119,NA,0.726,0.496,NA,-0.806,NA,-0.091,NA,NA,0.211,0.146,0,0.619,-0.199,-0.091,2.576,0,0.455,0.065,0.283,-0.308,0.208,0.317,-0.816
"PE",NA,NA,0.112,NA,-0.034,0.038,-0.123,-0.877,1.029,NA,NA,NA,NA,-0.077,-0.452,0,-0.818,-0.711,1.957,-0.619,-0.164,-0.554,-0.336,-0.927,-0.411,-0.302,-1.435
"psychoeducation",NA,NA,NA,NA,NA,0.378,NA,NA,NA,1.48,NA,NA,NA,NA,NA,0.613,0,0.107,2.775,0.199,0.654,0.264,0.482,-0.109,0.407,0.516,-0.617
"relaxation",NA,NA,NA,NA,0.251,NA,0.865,NA,NA,NA,NA,NA,NA,0.735,NA,0.711,NA,0,2.667,0.091,0.546,0.156,0.375,-0.216,0.299,0.408,-0.725
"RTM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.576,-2.121,-2.511,-2.293,-2.884,-2.368,-2.259,-3.392
"sham-neurofeedback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619,NA,NA,NA,NA,NA,NA,NA,NA,0,0.455,0.065,0.283,-0.308,0.208,0.317,-0.816
"SIT",NA,NA,NA,NA,NA,-0.077,NA,NA,NA,0.254,NA,NA,NA,0.533,NA,-0.19,NA,NA,NA,NA,0,-0.39,-0.172,-0.763,-0.247,-0.138,-1.271
"Supportive counseling",NA,NA,NA,0.847,-0.332,NA,NA,NA,NA,-0.016,NA,NA,NA,0.658,NA,0.181,NA,NA,NA,NA,0.941,0,0.218,-0.373,0.143,0.252,-0.881
"TARGET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.043,-0.024,NA,NA,NA,NA,NA,NA,0,-0.591,-0.075,0.034,-1.099
"TAU",0.785,NA,0.592,NA,0.865,NA,NA,NA,NA,0.77,NA,NA,NA,0.381,NA,1.709,NA,NA,NA,NA,NA,NA,NA,0,0.516,0.625,-0.508
"VRET",NA,NA,NA,NA,NA,NA,NA,0.163,NA,NA,NA,NA,NA,NA,-0.574,0.116,NA,NA,NA,NA,NA,NA,NA,-0.682,0,0.109,-1.024
"WET",NA,NA,2.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1.133
"WL",NA,1.431,1.27,1.49,1.109,1.123,1.526,NA,2.641,1.4,1.304,NA,NA,1.27,0.872,1.281,NA,-0.314,3.392,NA,1.4,0.611,1.016,NA,0.531,3.806,0
